"id","name","industry","subindustry","address","street","house_nr","postal_code","city","state","country","phone","skype","url","logo","email"
"1","Atex Freight Broker Training, Inc.","Professional Training",NULL,"7101 N Mesa St, El Paso, TX 79912"," N Mesa St","7101","TX 79912"," El Paso","Texas","USA","888 526-2839",NULL,,,NULL
"2","5 Star Freight Factoring","Financial Services",NULL,"Hebron, KY",,NULL,"KY ","Hebron","Kentucky","USA","888-393-5061",NULL,,,NULL
"3","Alexander & Alexander, Inc.","Insurance and Legal Services",NULL,"508 William Thomason Byway, Leitchfield, KY 42754"," William Thomason Byway","508","KY 42754"," Leitchfield","Kentucky","USA","(270) 230-0340",NULL,,NULL,NULL
"4","HOLT CAT Tyler","Equipment Rental & Sales",NULL,"12218 State Highway 31 W, Tyler, TX 75709"," State Highway 31 W","12218","TX 75709"," Tyler","Texas","USA","(903) 595-6424",NULL,,,NULL
"5","Super Dave’s Pilot Car Service, LLC","Pilot Car & Load Escort",NULL,"1829 Rodrique Lane, Tallahassee, FL 32310"," Rodrique Lane","1829","FL 32310"," Tallahassee","Florida","USA","(850) 559-9532",NULL,,,NULL
"6","Guy M. Turner, Inc.","Crane & Rigging Services",NULL,"4514 S Holden Road, Greensboro, NC 27406"," S Holden Road","4514","NC 27406"," Greensboro","North Carolina","USA","(336) 294-4660",NULL,,NULL,NULL
"7","Jeka USA Services, Inc.","Material Handling Equipment",NULL,"1 World Trade Center #800, Long Beach, CA 90802"," World Trade Center #800","1","CA 90802"," Long Beach","California","USA","877-666-5352",NULL,,,NULL
"8","BKK Transport & Brokerage","Vehicle Shipping",NULL,"Ingersoll Ln, Villa Park, IL 60181","Ingersoll Ln","1","IL 60181"," Villa Park","Illinois","USA","(630) 376-63401",NULL,,,NULL
"9","Pak Mail","Package Shipping Centers","Packaging & Shipping Supplies","7223 South Route 83, Willowbrook, IL 60521"," South Route 83","7223","IL 60521"," Willowbrook","Illinois","USA","(630) 920-1110",NULL,,NULL,NULL
"10","Pak Mail","Package Shipping Centers","Packaging & Shipping Supplies","162 Collins Road NE, Cedar Rapids, IA 52402"," Collins Road NE","162","IA 52402"," Cedar Rapids","Iowa","USA","(319) 373-5595",NULL,,NULL,NULL
"11","The Ruthvens","Public & Contract Warehousing",NULL,"41 Lake Morton Drive, Lakeland, FL 33801"," Lake Morton Drive","41","FL 33801"," Lakeland","Florida","USA","(863) 686-3173",NULL,,,NULL
"12","DropTrip","Courier Services","Shipping & Delivery Services","32 E Babcock Street #1750, Bozeman, MT 59771"," E Babcock Street #1750","32","MT 59771"," Bozeman","Montana","USA",NULL,NULL,,,NULL
"13","Hot Shot Services, Inc.","Courier Services","Logistics Service Providers - 3PL","1715 S Holbrook Lane #103, Tempe, AZ 85281"," S Holbrook Lane #103","1715","AZ 85281"," Tempe","Arizona","USA","(480) 894-1401",NULL,,NULL,NULL
"14","Armour Self Storage","Self Storage",NULL,"301 W Indian School Road, Phoenix, AZ 85013"," W Indian School Road","301","AZ 85013"," Phoenix","Arizona","USA","(602) 285-0220",NULL,,NULL,NULL
"15","Alpine Storage","Self Storage",NULL,"649 Greenway Road, Boone, NC 28607"," Greenway Road","649","NC 28607"," Boone","North Carolina","USA","(828) 262-0408",NULL,,NULL,NULL
"16","High Horizon Self Storage","Self Storage",NULL,"130 S State Street, Orem, UT 84058"," S State Street","130","UT 84058"," Orem","Utah","USA","(801) 224-8607",NULL,,NULL,NULL
"17","Too Much Stuff Self Storage","Self Storage",NULL,"2010 S University Avenue, Little Rock, AR 72204"," S University Avenue","2010","AR 72204"," Little Rock","Arkansas","USA","(501) 660-7883",NULL,,NULL,NULL
"18","Blue Ribbon Relocation","Moving & Relocation Services",NULL,"2191 Mendenhall Drive, Unit #108, North Las Vegas, NV 89081"," Mendenhall Drive Unit #108","2191","NV 89081"," North Las Vegas","Nevada","USA","(702) 399-1288",NULL,,,NULL
"19","Moving Mates","Moving & Relocation Services",NULL,"6 Camfield Place, Florey, Canberra, ACT 2615"," Camfield Place Florey","6","2615"," Canberra","ACT","Australia","1300 654 187",NULL,,,NULL
